nome;kcal;proteine;carboidrati;grassi
Pane di tipo integrale;224;8,5;44,1;1,3
Pane di tipo semintegrale;239;8,3;52;0,3
Pane formato rosetta;275;9;57,6;1,9
Panettone;337;6,4;56,2;10,7
Pangrattato;357;10,1;77,8;2,1
Panini al latte;298;9;48,1;8,7
Panini all'olio;288;7,7;52,6;5,8
"Panino con hamburger piccolo, fast food";254;15,6;29;8,9
"Panino, fast food";248;10,1;47;3
"Panna da cucina, sterilizzata, 23% di lipidi";233;2,7;4;23
"Panna da montare, 35% di lipidi";337;2,3;3,4;35
"Papaia, fresca";33;0,4;6,9;0,1
Pappa reale;146;10;14;6
Parmigiana di melanzane;242;7;4;21
Parmigiano Reggiano DOP;397;32,4;tr;29,7
"Passiflora, fresca";64;3;5,7;0,3
"Pasta aglio, olio e peperoncino";190;4,2;26,5;7,9
Pasta al pesto alla genovese;175;6,7;21,4;7,2
Pasta al ragù alla bolognese;168;8,4;16;8
Pasta al sugo di pomodoro;113;3,3;19,5;2,6
Pasta alla amatriciana;241;7,5;28,7;11
Pasta alla carbonara;245;10,8;28,4;10,3
Pasta alle vongole;157;6,7;28,3;2,4
"Pasta all'uovo, secca";346;13;71;2,4
"Pasta all'uovo, secca, cotta, bollita";123;4,6;25,5;0,8
Pasta burro e parmigiano;184;6;27,3;6,1
Pasta cacio e pepe;167;6,9;27,4;3,8
Pasta di mandorle;455;9,9;54,6;23,4
Pasta di semola;341;13,5;72,7;1,2
"Pasta di semola, cotta, bollita";175;6,9;37,3;0,6
"Pasta di semola, integrale";330;13,3;64,8;2,2
"Pasta di semola, integrale, cotta, bollita";182;7,4;36;1,2
Pasta e fagioli;116;4,9;12,2;5,1
Pasta integrale al sugo di pomodoro;132;4,6;21,3;3,2
Pastiera;295;7,2;43,6;11
"Patate novelle, cotte, al microonde";72;2;15,7;0,3
"Patate novelle, cotte, bollte";68;1,9;14,9;0,2
"Patate novelle, crude";72;2;15,7;0,3
"Patate, con buccia, cotte, bollite";88;2,1;17,9;1
"Patate, cotte, al microonde";88;2,1;17,9;1
"Patate, cotte, arrosto";152;2,9;25,7;4,5
"Patate, crude";72;2;16;0,1
"Patate, fritte";192;3,9;29,9;6,7
"Patate, senza buccia, cotte, bollite";74;1,8;16,9;0,1
"Patatine, fritte, confezionate in busta";512;5,4;58;29,6
"Patatine, fritte, fast food";283;3,3;37,6;13,7
Patè di coniglio;346;13;1,1;32,2
Patè di fegato;341;12,7;1,3;31,7
Patè di pollo;289;11,1;2,3;26,2
Patè di prosciutto;358;11,3;1,1;34,3
"Pecora, solo tessuto muscolare, crudo";121;21;;4,1
Pecorino;404;28,8;0,2;32
Pecorino romano;409;26;1,8;33,1
Pecorino siciliano;427;28,9;2,4;33,6
Pepe nero;311;11,4;49;3,3
"Peperoncini piccanti, freschi";30;1,8;3,8;0,5
"Peperoni, cotti, in padella";143;5,2;24,3;1,5
"Peperoni, crudi";26;0,9;4,2;0,3
"Peperoni, gialli, cotti, al microonde";41;1,1;8,1;0,2
"Peperoni, gialli, crudi";35;0,9;6,8;0,2
"Peperoni, rossi e gialli, crudi";35;0,9;6,7;0,3
"Peperoni, rossi, cotti, al microonde";42;1,1;7,9;0,4
"Peperoni, rossi, crudi";34;0,9;6,5;0,3
"Peperoni, verdi, crudi";31;0,7;6;0,2
"Pere, candite";294;1;73,9;0,4
"Pere, fresche, Abate Fetel";59;0,2;12,7;0,3
"Pere, fresche, Coscia";42;0,3;8,6;0,1
"Pere, fresche, Kaiser";48;0,3;9,2;0,5
"Pere, fresche, Max-Red Barlett";50;0,3;10;0,4
"Pere, fresche, senza buccia";43;0,3;8,8;0,1
"Pere, fresche, William";52;0,3;10,2;0,5
Pesce gatto;92;15,5;0,2;3,3
"Pesche, disidratate";364;4,8;88;0,9
"Pesche, fresche, con buccia";28;0,7;5,8;tr
"Pesche, fresche, senza buccia";30;0,8;6,1;0,1
"Pesche, sciroppate";56;0,5;14;tr
"Pesche, secche";280;3,1;68,3;0,7
"Peschenoci, fresche";36;1,4;7;0,1
Pesto alla genovese;250;11;1,8;21,8
"Piccione giovane, crudo";138;22,1;;5,5
Pinoli;604;31,9;4;50,3
"Piselli, freschi";64;5,5;6,5;0,6
"Piselli, freschi, cotti, in padella";104;9,7;11,5;1
"Piselli, in scatola, scolati";78;5,3;11,1;0,6
"Piselli, secchi";317;21,7;48,2;2
"Piselli, surgelati";61;5,4;6,5;0,3
Pistacchi;629;18,1;8,1;56,1
Pistacchio di Bronte DOP;595;24,3;7,3;48,9
Pizza bianca;306;7,9;57,9;5,9
Pizza con pomodoro;248;7,6;40,7;6,6
Pizza con pomodoro e mozzarella;255;12,1;35,5;7,6
Pizza Napoletana Margherita STG;235;10,7;27,4;9,3
Polenta al ragù alla bolognese;114;4,6;12,4;5,3
Polenta al sugo di pomodoro;73;1;14,2;1,5
"Polenta, cotta";73;0,9;17,8;0,04
"Polenta, cruda";323;8;72,7;0,7
Pollo all'ananas;126;11,5;5,5;6,6
Pollo alle mandorle;182;16,5;2,4;11,9
"Pollo, ala, con pelle, cotta, al forno";283;31,7;;17,4
"Pollo, ala, con pelle, crudo";196;16,7;;14,3
"Pollo, fuso, con pelle, cotto, al forno";201;31,2;;8,5
"Pollo, fuso, con pelle, crudo";125;18,4;;5,7
"Pollo, fuso, senza pelle, cotto, al forno";175;29,9;;6,2
"Pollo, fuso, senza pelle, crudo";107;18,5;;3,7
"Pollo, intero, con pelle, cotto, al forno";200;27,1;;10,2
"Pollo, intero, con pelle, cotto, arrosto";245;28,3;;14,7
"Pollo, intero, con pelle, crudo";171;19;;10,6
"Pollo, intero, senza pelle, cotto, al forno";160;27,9;;5,4
"Pollo, intero, senza pelle, cotto, arrosto";206;28,9;;10
"Pollo, intero, senza pelle, crudo";110;19,4;;3,6
"Pollo, petto, cotto, in padella";129;30,2;;0,9
"Pollo, petto, crudo";100;23,3;;0,8
"Pollo, sovracoscio, con pelle, cotto, al forno";219;26,7;;12,5
"Pollo, sovracoscio, con pelle, crudo";196;17,4;;14
"Pollo, sovracoscio, senza pelle, cotto, al forno";188;28,3;;8,3
"Pollo, sovracoscio, senza pelle, crudo";132;18,7;;6,3
Polmone di bovino;75;14;;2,1
Polpo;57;10,6;1,4;1
Pomodori al riso;93;2;14,5;2,8
"Pomodori, conserva";100;3,9;20,4;0,4
"Pomodori, da insalata, freschi";19;1,2;2,8;0,2
"Pomodori, maturi, freschi";23;1;3,5;0,2
"Pomodori, Nerina, rossi, freschi";21;1,1;2,8;0,4
"Pomodori, Nerina, verdi, freschi";21;0,9;2,8;0,4
"Pomodori, passata";21;1,3;3;0,2
"Pomodori, pelati in scatola";22;1,2;3;0,5
"Pomodori, San Marzano, freschi";21;1,1;3;0,2
"Pomodori, succo";16;0,8;3;tr
"Pomodorini ciliegino, freschi";37;1,1;7,2;0,4
"Pompelmo, fresco";29;0,6;6,2;
Pop corn;408;12;77,9;4,2
"Porri, cotti, bolliti";35;2,1;5,3;0,1
"Porri, crudi";35;2,1;5,2;0,1
"Prezzemolo, fresco";30;3,7;tr;0,6
Prosciutto cotto;138;15,7;1,7;7,6
"Prosciutto cotto, alta qualità";182;18;0,8;11,9
"Prosciutto cotto, alta qualità, sgrassato";126;19,5;0,9;5
"Prosciutto cotto, scelto";155;17,5;0,6;9,2
"Prosciutto cotto, scelto, sgrassato";115;19,4;0,5;4
"Prosciutto cotto, sgrassato";107;17;1,9;3,5
Prosciutto crudo di montagna;303;26,2;;22
"Prosciutto crudo DOP, di Parma";269;25,9;0,3;18,3
"Prosciutto crudo, di Modena DOP";309;25,6;0,1;22,9
"Prosciutto crudo, di Modena DOP, sgrassato";201;30,2;0,1;8,9
"Prosciutto crudo, di Parma DOP, sgrassato";176;29,1;0,4;6,4
"Prosciutto crudo, di Pietraroja";358;26,2;;28,1
"Prosciutto crudo, di San Daniele DOP";271;25,7;0,2;18,6
"Prosciutto crudo, di San Daniele DOP, sgrassato";176;29;0,4;6,5
"Prosciutto crudo, disossato";224;26,9;;12,9
"Prosciutto crudo, disossato, sgrassato";159;29,3;;4,6
"Prosciutto crudo, gambuccio";306;26,2;;22,4
"Prosciutto crudo, Nazionale";235;27,8;0,1;13,7
"Prosciutto crudo, Nazionale, sgrassato";169;30,5;0,3;5,1
Provolone;374;28,1;2;28,2
"Prugne, fresche";45;0,5;10,5;0,1
"Prugne, gialle";30;0,5;6,6;0,1
"Prugne, rosse";45;0,5;10,5;0,1
"Prugne, secche";236;2,2;55;0,5
"Quaglia, crudo";161;25;;6,8
"Quinoa, cotta, bollita";140;4,8;24,3;2,5
"Quinoa, cruda";376;15,4;57,8;8,1
"Radicchio rosso di Treviso IGP, precoce";16;1,6;1;0,1
"Radicchio rosso di Treviso IGP, tardivo";16;1,5;1,4;0,1
Radicchio variegato di Castelfranco IGP;16;1,3;1,4;0,1
"Radicchio, rosso, fresco";19;1,4;1,6;0,1
"Radicchio, verde, fresco";14;1,9;0,5;0,5
Ragù alla bolognese;196;12;1,9;15,4
"Rana, crudo";64;15,5;;0,2
"Rape, cotte, bollite";26;1,1;4,3;
"Rape, crude";24;1;4;
"Ravanelli, freschi";13;0,8;1,8;0,1
Ravioli al burro e salvia;238;6,5;24,7;12,9
Ravioli al sugo di pomodoro;135;4,8;17,6;5,1
Ravioli al vapore;270;7,2;21,4;17,5
"Ravioli, cotti";177;7,2;27,5;4,6
"Ravioli, crudi, freschi";265;10,6;40,7;7,3
Razza;68;14,2;0,7;0,9
Rene di bovino;118;18,4;0,8;4,6
"Ribes, freschi";52;0,9;9,7;tr
Ricotta di bufala;212;10,5;3,7;17,3
Ricotta di pecora;157;9,5;4,2;11,5
Ricotta di vacca;146;8,8;3,5;10,9
Riso al ragù alla bolognese;145;6,7;13,6;7,4
Riso al sugo di pomodoro;90;1,7;16,5;2,2
"Riso Basmati, cotto, bollito";113;3;25,2;0,6
"Riso Basmati, crudo";367;9;82,9;1,9
Riso burro e Parmigiano reggiano;144;3,4;22,1;5,2
Riso Cantonese;207;5,5;29,8;7,8
"Riso Venere, cotto, bollito";160;3,5;36,9;0,3
"Riso Venere, crudo";355;7,8;80,4;1,3
"Riso, brillato";334;6,7;80,4;0,4
"Riso, brillato, cotto, bollito";100;2;24,2;0,1
"Riso, integrale";341;7,5;77,4;1,9
"Riso, integrale, cotto, bollito";113;2,5;25,5;0,6
"Riso, parboiled";338;7,4;81,3;0,3
"Riso, parboiled, cotto, bollito";97;2,1;23,3;0,1
"Riso, soffiato, da prima colazione";354;6;85,1;1
Risotto alla parmigiana;181;4,1;25,4;7,5
Robiola;338;20;2,3;27,7
Rombo;81;16,3;1,2;1,3
"Rosmarino, fresco";110;1,4;13,5;4,4
"Rughetta o rucola, fresca";30;2,6;3,9;0,3
Salame Brianza;384;26,5;1;30,5
Salame Fabriano;420;26,5;1,5;34,3
Salame Felino;375;30,5;0,5;27,9
Salame Milano;385;25,4;1,1;31
Salame Napoli;378;27,4;0,2;29,7
Salame nostrano;370;27,3;1,1;28,5
Salame ungherese;420;23,6;1,1;35,7
Salami italiani alla cacciatora DOP;411;28,4;0,7;32,7
"Salmone, affumicato";147;25,4;1,2;4,5
"Salmone, fresco";185;18,4;1;12
"Salmone, in salamoia";192;21,1;1;11,5
Salpa;104;18;2;2,7
Salsiccia di Calabria;366;33,6;1,3;25,2
Salsiccia di fegato;424;12,4;0,9;41,2
"Salsiccia di suino, fresca";304;15,4;0,6;26,7
"Salsiccia di suino, fresca, cotta, in padella";324;22,2;;26,1
"Salsiccia di suino, secca";514;22;;47,3
"Salvia, fresco";132;3,9;15,6;4,6
Sarago;97;20,7;1;1,2
Sarda;129;20,8;1,5;4,5
Sardine;225;20,3;1,5;15,4
"Sardine, fritte";324;32,3;1;21,2
Sarmale;103;5,7;7,9;5,2
"Savoiardi, industriali";395;11,9;69,6;9,2
Scaloppina di tacchino al limone;170;20,5;11,5;4,9
Scamorza;334;25;1;25,6
Scarola;19;1,1;2,3;0,3
"Scarola IV gamma, fresca";17;0,9;2,2;0,2
Scorfano;82;19;0,6;0,4
"Sedano rapa, crudo";29;1,9;3,8;0,1
"Sedano, cotto, al microonde";24;2,4;2,4;0,2
"Sedano, crudo";23;2,3;2,4;0,2
Sego di bue;872;0,8;;96,5
Semola;346;11,5;76,9;0,5
Seppia;72;14;0,7;1,5
Sgombro o maccarello;170;17;0,5;11,1
"Sgombro o maccarello, in salamoia";177;19,3;;11,1
Sogliola;83;16,9;0,8;1,4
Sogliola al vino bianco;188;19;5,6;10,1
"Sogliola, surgelata";81;17,3;0,1;1,3
"Soia, bevanda";32;2,9;0,8;1,9
"Soia, isolato proteico";369;86,5;4,5;0,7
"Soia, salsa";66;8,7;8,3;
"Soia, secca";430;36,9;23,2;19,1
"Soia, yogurt";72;5;3,9;4,2
Soppressata di Calabria;377;34,2;0,9;26,3
Spaghetti fritti;165;4,6;13,6;10,4
Speck dell'Alto Adige IGP;299;30,7;1,2;19,1
Spezzatino di vitellone al vino rosso;161;18,1;3;8,6
Spigola;82;16,5;0,6;1,5
Spigola al cartoccio;126;16,2;0,9;6,4
"Spigola d'allevamento, filetti";149;21,3;0,8;6,8
"Spinaci, cotti, al microonde";35;3,4;3;0,7
"Spinaci, cotti, bolliti";41;4;3,5;0,8
"Spinaci, crudi";35;3,4;2,9;0,7
"Spinaci, surgelati";15;2,8;;tr
Spumante;87;tr;0,6;
Storione;145;19,2;;7,6
Stracchino;300;18,5;tr;25,1
Strutto o sugna;892;0,3;;99
"Struzzo, solo tessuto muscolare, cotto, al forno";101;22,2;;1,4
"Struzzo, solo tessuto muscolare, crudo";92;20,9;;0,9
Succo di frutta;56;0,3;14,5;0,1
Sugo di pomodoro;74;1,3;3,6;5,7
Suro o sugarello;104;18,3;1;3
Tabulè;95;3;14;2,4
"Tacchino intero, con pelle, crudo";135;18,2;;6,9
"Tacchino intero, senza pelle, cotto, al forno";117;23,3;;2,6
"Tacchino intero, senza pelle, crudo";109;21,9;;2,4
"Tacchino, coscio, con pelle, crudo";131;18,1;;6,5
"Tacchino, fesa, cotta, al forno";131;29,6;;1,4
"Tacchino, fesa, crudo";107;24;;1,2
"Tacchino, fuso, con pelle, cotto, al forno";191;26,7;;9,3
"Tacchino, fuso, con pelle, crudo";126;17,9;;6
"Tacchino, fuso, senza pelle, cotto, al forno";190;28;;8,7
"Tacchino, fuso, senza pelle, crudo";113;18;;4,6
"Tacchino, sovracoscio, senza pelle, cotto, al forno";182;30,2;;6,8
"Tacchino, sovracoscio, senza pelle, crudo";120;18,5;;5,1
Taleggio;315;19;0,9;26,2
"Tarassaco o dente di leone, fresco";37;3,1;3,7;1,1
"Tartufo, nero";48;6;0,7;0,5
"Tè, foglie";108;19,6;3;2
Tinca;79;17,9;0,9;0,5
Tonno;159;21,5;0,1;8,1
"Tonno in salamoia, sgocciolato";103;25,1;;0,3
"Tonno sott'olio, sgocciolato";192;25,2;;10,1
"Topinambur, cotto, bollito";52;1,6;10,6;0,1
Torrone alla mandorla;483;10,8;52;26,8
Torta di mele;300;5;46,3;11,5
Torta margherita;370;8,9;63,4;10,4
"Tortellini, freschi";302;12,2;49,9;7,1
"Tortellini, freschi, cotti";158;6,4;26;3,7
"Tortellini, secchi";379;15,7;57,6;10,8
Triglia;123;15,8;1,1;6,2
Trippa di bovino;108;15,8;;5
Trota;86;14,7;;3
Trota al forno;186;20,8;5,8;8,9
"Trota iridea d'allevamento, filetti";118;20,3;;4,1
Trota surgelata;92;17,8;;2,3
"Trota surgelata, cotta, al microonde";105;20,4;;2,6
"Trota surgelata, cotta, in forno";136;26,7;;3,2
"Uova di anatra, intero";190;12,2;0,7;15,4
"Uova di gallina, albume";43;10,7;tr;tr
"Uova di gallina, intero";128;12,4;tr;8,7
"Uova di gallina, intero , cotto, a frittata o strapazzato";150;14,6;tr;10,2
"Uova di gallina, intero , cotto, alla coque o sodo";128;12,4;tr;8,7
"Uova di gallina, intero, congelato";128;12,4;tr;8,7
"Uova di gallina, intero, in polvere";537;51,9;0,4;36,4
"Uova di gallina, tuorlo";325;15,8;tr;29,1
"Uova di gallina, tuorlo , cotto, in camicia";325;15,8;tr;29,1
"Uova di gallina, tuorlo, congelato";325;15,8;tr;29,1
"Uova di gallina, tuorlo, in polvere";642;31,2;0,02;57,5
"Uova di oca, intero";189;13,8;1;14,4
"Uova di tacchina, intero";147;12,8;1;10,2
"Uva, bianca, fresca";86;0,4;21,5;0,1
"Uva, fresca";64;0,5;15,6;0,1
"Uva, nera, fresca";53;0,5;12,6;0,1
"Uva, secca";293;1,9;72;0,6
"Uva, succo, in cartone";66;0,3;17,3;tr
"Vegetali misti, surgelati";67;3,3;13,7;0,3
Vermouth dolce;139;tr;13,9;
Vermouth secco;121;tr;4;
Vino da pasto bianco;70;tr;tr;
Vino da pasto rosso;75;tr;tr;
"Vitello, filetto, cotto in padella";126;24,4;;3,2
"Vitello, filetto, crudo";107;20,7;;2,7
Vongola;65;9,8;3,9;1,2
Wafer ricoperto di cioccolato;498;8,2;60,3;26,6
Whisky;245;tr;tr;
"Wurstel di puro suino, cotto";259;14,6;0,3;22,2
"Wurstel di puro suino, crudo";250;13,2;1,9;21,1
Yogurt caprino;60;3,6;5,1;2,9
"Yogurt da latte intero, alla frutta";80;3,4;10,5;2,8
"Yogurt da latte, parzialmente scremato";43;3,4;3,8;1,7
"Yogurt da latte, scremato";36;3,3;4;0,9
"Yogurt greco, 0% lipidi";51;9;4;
"Yogurt greco, 0% lipidi, aromatizzato";86;7,5;15;
"Yogurt greco, da latte intero";115;6,4;2;9,1
"Yogurt greco, da latte magro, alla frutta";74;6;11;0,9
"Yogurt, 0% lipidi";42;4,7;6;0,1
"Yogurt, da latte intero";66;3,8;4,3;3,9
"Zampone confezionato, precotto";361;19,1;;31,6
"Zampone Modena IGP, cotto";262;23,7;2,6;17,5
"Zucca gialla, fresca";29;1,1;3,5;0,1
"Zucchero, saccarosio";392;;104,5;
"Zucchine chiare, cotte, al vapore";20;2;2,5;
"Zucchine chiare, cotte, in padella grigliate";29;;5,7;0,2
Zucchine grigliate;75;4,3;5,5;3,8
"Zucchine, chiare";17;1,9;1,7;0,1
"Zucchine, chiare, cotte, al microonde";23;2;3;0,1
"Zucchine, cotte, bollite";30;3,2;3,4;0,2
"Zucchine, crude";16;1,5;1,7;0,1
"Zucchine, scure, cotte, al microonde";23;1,8;3,5;
"Zucchine, scure, cotte, al vapore";20;1,6;2,7;0,1
"Zucchine, scure, cotte, in padella grigliate";37;2,7;5,6;0,1
"Zucchine, scure, crude";17;1,4;2,1;0,1
