nome;kcal;proteine;carboidrati;grassi
"Cannoli alla crema, industriale";368;6,2;41,9;20,7
Cannoli siciliani;325;7,2;42,7;14,6
Capitone;247;13;0,5;21,5
Capocollo;450;20,8;1,4;40,2
Capocollo di Calabria;344;29,1;0,9;24,9
"Capra, solo tessuto muscolare, crudo";106;21,2;;2,3
"Capretto, crudo";113;19,2;;4
Caramelle dure;344;tr;91,6;
"Caramelle tipo ""mou""";430;2,1;71,1;17,2
Carciofi alla romana;85;2,2;1,8;5,9
"Carciofi, cotti, al microonde";34;2,8;2,5;0,2
"Carciofi, cotti, bolliti";44;3,6;3,3;0,3
"Carciofi, crudi";33;2,7;2,5;0,2
"Carciofi, surgelati";32;2,7;2,5;0,2
Carciofo Romanesco IGP;48;3;6,1;0,2
"Carciofo, Spinoso sardo";45;1,9;8,9;0,2
"Carciofo, verde, precoce";45;2,9;5,4;0,2
"Carciofo, violetto, precoce";43;2,8;5,2;0,2
"Cardi, cotti, bolliti";22;1;2,9;0,2
"Cardi, crudi";13;0,6;1,7;0,1
"Carne bovina in gelatina, in scatola";67;12,6;;1,8
"Carne bovina pressata, in scatola";141;16,5;;8,3
"Carote, cotte, al microonde";41;1,1;7,7;0,2
"Carote, cotte, bollite";47;1,3;8,7;0,2
"Carote, crude";41;1,1;7,6;0,2
Carpa;139;18,9;;7,1
Carrube;253;3,3;49,9;0,7
Castagnaccio;234;3,4;39,3;6,8
Castagne;174;2,9;36,7;1,7
"Castagne, arrostite";210;3,7;41,8;2,4
"Castagne, bollite";130;2,5;26,1;1,3
"Castagne, secche";315;6;62;3,4
"Cavallo, solo tessuto muscolare, crudo";106;23,5;0,7;1
"Cavallo, tessuto muscolare e grasso, crudo";143;19,8;0,6;6,8
"Caviale, storione";255;26,9;3,3;15
"Cavolfiore, cotto, al microonde";30;3,2;2,8;0,2
"Cavolfiore, cotto, bollito";31;3,4;2,9;0,2
"Cavolfiore, crudo";30;3,2;2,7;0,2
"Cavoli di Bruxelles, cotti, bolliti";53;4,7;4,6;0,6
"Cavoli di Bruxelles, crudi";47;4,2;4,2;0,5
"Cavolo broccolo verde ramoso, cotto, bollito";52;6;3,5;0,5
"Cavolo broccolo verde ramoso, crudo";30;3,4;2;0,3
"Cavolo cappuccio, rosso, crudo";22;1,9;2,7;0,2
"Cavolo cappuccio, verde, cotto, bollito";24;2,1;2,5;0,1
"Cavolo cappuccio, verde, crudo";24;2,1;2,5;0,1
"Cavolo verza, cotto, bollito";29;2;3,8;0,1
"Cavolo verza, cruda";29;2;3,8;0,1
"Ceci, in scatola, scolati";111;6,7;13,9;2,3
"Ceci, secchi";343;20,9;46,9;6,3
"Ceci, secchi, cotti, bolliti";132;7;18,9;2,4
Cefalo muggine;127;15,8;0,7;6,8
Cernia surgelata;88;17;0,5;2
Cervello di bovino;157;10;0,8;12,7
"Cervo, solo tessuto muscolare, crudo";91;21;;0,8
"Cetrioli, freschi";16;0,7;1,8;0,5
Cheddar;388;26,7;0,5;31
"Cheese burger, fast food";300;16,3;30,2;13,1
"Chicken Nuggets, fast food";242;17,7;15,4;12,4
Ciccioli;636;45,2;;50,6
